Company,Utility,Location,Date,Gallons,X,Y
Amazon,Prince William Water Authority ,15465 John Marshall Hwy ,2/1/2024 0:00,8797.6,38.82,-77.65
Amazon,Prince William Water Authority ,15465 John Marshall Hwy ,3/1/2024 0:00,168022.7,38.82,-77.65
Amazon,Prince William Water Authority ,15465 John Marshall Hwy ,4/1/2024 0:00,30529,38.82,-77.65
Amazon,Prince William Water Authority ,15465 John Marshall Hwy ,5/1/2024 0:00,103930,38.82,-77.65
Amazon,Prince William Water Authority ,15465 John Marshall Hwy ,6/1/2024 0:00,485672.5,38.82,-77.65
Amazon,Prince William Water Authority ,15465 John Marshall Hwy ,7/1/2024 0:00,791420.5,38.82,-77.65
Amazon,Prince William Water Authority ,15465 John Marshall Hwy ,8/1/2024 0:00,504244.5,38.82,-77.65
Amazon,Prince William Water Authority ,15465 John Marshall Hwy ,9/1/2024 0:00,28893.5,38.82,-77.65
Amazon,Prince William Water Authority ,15465 John Marshall Hwy ,10/1/2024 0:00,9589.4,38.82,-77.65
Amazon,Prince William Water Authority ,15465 John Marshall Hwy ,11/1/2024 0:00,22596,38.82,-77.65
Amazon,Prince William Water Authority ,15465 John Marshall Hwy ,12/1/2024 0:00,7625,38.82,-77.65
Amazon,Prince William Water Authority ,15465 John Marshall Hwy ,1/1/2025 0:00,8487.1,38.82,-77.65
Amazon,Prince William Water Authority ,15465 John Marshall Hwy ,2/1/2025 0:00,7426,38.82,-77.65
Amazon,Prince William Water Authority ,15465 John Marshall Hwy ,3/1/2025 0:00,7678.8,38.82,-77.65
Amazon,Prince William Water Authority ,15465 John Marshall Hwy ,4/1/2025 0:00,159244.3,38.82,-77.65
Amazon,Prince William Water Authority ,15465 John Marshall Hwy ,5/1/2025 0:00,86969.2,38.82,-77.65
Amazon,Prince William Water Authority ,15465 John Marshall Hwy ,6/1/2025 0:00,289636.4,38.82,-77.65
Amazon,Prince William Water Authority ,15465 John Marshall Hwy ,7/1/2025 0:00,360221.8,38.82,-77.65
Amazon,Prince William Water Authority ,15465 John Marshall Hwy ,8/1/2025 0:00,111655.5,38.82,-77.65
Amazon,Prince William Water Authority ,15465 John Marshall Hwy ,9/1/2025 0:00,120385.1,38.82,-77.65
Amazon,Prince William Water Authority ,15465 John Marshall Hwy ,10/1/2025 0:00,8739.4,38.82,-77.65
Amazon,Prince William Water Authority ,15465 John Marshall Hwy ,11/1/2025 0:00,10622.1,38.82,-77.65
Amazon,Prince William Water Authority ,15465 John Marshall Hwy ,12/1/2025 0:00,16815.4,38.82,-77.65
Amazon,Prince William Water Authority ,15455 John Marshall Hwy,1/1/2023 0:00,5515.5,38.82,-77.65
Amazon,Prince William Water Authority ,15455 John Marshall Hwy,2/1/2023 0:00,4603.1,38.82,-77.65
Amazon,Prince William Water Authority ,15455 John Marshall Hwy,3/1/2023 0:00,5188.1,38.82,-77.65
Amazon,Prince William Water Authority ,15455 John Marshall Hwy,4/1/2023 0:00,249083.2,38.82,-77.65
Amazon,Prince William Water Authority ,15455 John Marshall Hwy,5/1/2023 0:00,223839.9,38.82,-77.65
Amazon,Prince William Water Authority ,15455 John Marshall Hwy,6/1/2023 0:00,451646.6,38.82,-77.65
Amazon,Prince William Water Authority ,15455 John Marshall Hwy,7/1/2023 0:00,890106.9,38.82,-77.65
